PFID	Category	Reported Trait	UKBB Code	Self-reported Trait	Self-reported Code	ICD10	PMID
PFIDB2020	Non cancer	Angina pectoris	p20002,p41202,p41204	angina	1074	I20	39633571
PFIDB2021	Non cancer	Coronary artery disease	p20002,p41202,p41204	heart attack/myocardial infarction	1075	I21,I22,I23,I24.1,I25.2	35708014
PFIDB2022	Non cancer	Atrial fibrillation	p20002,p41202,p41204	atrial fibrillation	1471	I48	37938842
PFIDB2023	Non cancer	Dilated cardiomyopathy	p20002,p41202,p41204	cardiomyopathy	1079	I42.0	35708014
PFIDB2024	Non cancer	Venous thromboembolic disease	p20002,p41202,p41204	venous thromboembolic disease	1068	I80,I81,I82,I26	30649175
PFIDB2025	Non cancer	Chronic obstructive pulmonary disease	p20002,p41202,p41204	chronic obstructive airways disease/copd	1112	J41,J42,J43,J44	37069358
PFIDB2026	Non cancer	Asthma	p20002,p41202,p41204	asthma	1111	J45,J46	32890573
PFIDB2027	Non cancer	Gastro-oesophageal reflux disease	p20002,p41202,p41204	gastro-oesophageal reflux (gord) / gastric reflux	1138	K21.0,K21.9	31527586,32588049
PFIDB2028	Non cancer	Polyp of stomach and duodenum	p41202,p41204	NA	NA	K31.7	39647990
PFIDB2029	Non cancer	Crohns disease	p20002,p41202,p41204	crohns disease	1462	K50	36305857
PFIDB2030	Non cancer	Ulcerative colitis	p20002,p41202,p41204	ulcerative colitis	1463	K51	36305857
PFIDB2031	Non cancer	Diverticular disease of intestine	p20002,p41202,p41204	diverticular disease/diverticulitis	1458	K57	35876359
PFIDB2032	Non cancer	Irritable bowel syndrome	p20002,p41202,p41204	irritable bowel syndrome	1154	K58	35130187
PFIDB2033	Non cancer	Rectal or colon polyps	p20002,p41202,p41204	rectal or colon polyps	1460	K62.1,K63.5	39647990
PFIDB2034	Non cancer	Cholelithiasis	p41202,p41204	cholelithiasis/gall stones	1162	K80	34624136
PFIDB2035	Non cancer	Rheumatoid arthritis	p20002,p41202,p41204	rheumatoid arthritis	1464	M05,M06	38081205
PFIDB2036	Non cancer	Gout	p20002,p41202,p41204	gout	1466	M10	35128470
PFIDB2037	Non cancer	Osteoarthritis 	p20002,p41202,p41204	osteoarthritis	1465	M15.1,M15.2,M19.0,M16.0,M16.1,M16.9,M17.0,M17.1,M17.9	36239377
PFIDB2038	Non cancer	Osteoporosis	p20002,p41202,p41204	osteoporosis	1309	M80.0,M81.0,M81.5,M81.8,M81.9	38141141
PFIDB2039	Non cancer	Acute renal failure	p41202,p41204	NA	NA	N17	33462484
PFIDB2040	Non cancer	Chronic kidney disease	p41202,p41204	NA	NA	N18	33462484
PFIDB2041	Non cancer	Kidney failure	p20002,p41202,p41204	renal/kidney failure	1192	N19	33462484
PFIDB2042	Non cancer	Hyperplasia of prostate	p20002,p41202,p41204	enlarged prostate	1396	N40	30410027
PFIDB2043	Non cancer	Polyp of corpus uteri	p20002,p41202,p41204	uterine polyps	1352	N84.0	38416166
PFIDB2044	Non cancer	Headache	p20002,p41202,p41204	headaches (not migraine)	1436	R51	NA
PFIDB3001	Other	Fractured/broken bones in last 5 years	p2463	NA	NA	NA	NA
PFIDB3002	Other	Ease of skin tanning	p1727	NA	NA	NA	NA
PFIDB3003	Other	Type I balding	p2395	NA	NA	NA	37737258
PFIDB3004	Other	Ever smoked	p20160	NA	NA	NA	NA
PFIDB3005	Other	Snoring	p1210	NA	NA	NA	NA
